"","x"
"1",8.133387933
"2",7.259508745
"3",12.05379175
"4",6.137308464
"5",12.01586053
"6",7.980237657
"7",7.44864582
"8",8.39348611
"9",7.570971337
"10",4.933512719
"11",12.3030295
"12",9.086549976
"13",8.266668521
"14",6.383545713
"15",6.039232336
"16",8.231401856
"17",9.406261031
"18",10.34351918
"19",13.73648842
"20",8.954258476
"21",12.44586776
"22",9.227108255
"23",10.57045244
"24",7.449168417
"25",10.79382173
"26",12.96039665
"27",7.8208474
"28",7.030355323
"29",10.78898152
"30",7.109814955
"31",11.10718523
"32",9.851219147
"33",12.90263095
"34",7.297579007
"35",6.574791369
"36",9.361558401
"37",7.368026809
"38",7.840960984
"39",6.873228022
"40",9.198780846
"41",8.223729265
"42",9.649488358
"43",11.47196757
"44",3.835263231
"45",9.572591542
"46",10.40741088
"47",6.686051298
"48",11.80073221
"49",9.200341756
"50",8.335703222
"51",8.807185911
"52",8.195187711
"53",13.37686341
"54",9.356703505
"55",11.35782304
"56",11.84458926
"57",9.182495223
"58",11.26747318
"59",10.18651694
"60",10.41765603
"61",9.204136848
"62",6.96691328
"63",8.800589907
"64",10.51242736
"65",9.589126337
"66",12.12941901
"67",7.126419356
"68",10.84456773
"69",9.358208062
"70",9.223983961
"71",11.46484339
"72",10.03421134
"73",11.42623291
"74",8.567084733
"75",11.18287815
"76",8.194838163
"77",16.46961804
"78",8.053495387
"79",10.46604704
"80",10.64522604
"81",8.186893984
"82",11.8333404
"83",8.216985349
"84",7.132433365
"85",10.63322058
"86",12.67260923
"87",10.30040693
"88",7.357569415
"89",8.981916418
"90",7.254594655
"91",9.82664834
"92",8.95683842
"93",10.42687598
"94",11.85401168
"95",10.45346742
"96",9.834975922
"97",14.58412748
"98",9.612420632
"99",8.619461578
"100",11.04284399
"101",11.65953637
"102",8.279188725
"103",11.79297243
"104",9.767227846
"105",3.415825688
"106",11.69096904
"107",9.719925323
"108",8.4283764
"109",7.888059673
"110",6.243118246
"111",6.999316029
"112",10.61131888
"113",7.434769677
"114",9.792765383
"115",11.71738163
"116",9.994216902
"117",11.48035201
"118",8.405374065
"119",10.70949535
"120",12.34574797
"121",12.45848472
"122",9.663332934
"123",8.91007548
"124",9.637401779
"125",10.38965822
"126",11.98169992
"127",7.844933426
"128",12.22004395
"129",11.81078107
"130",9.3733906
"131",10.43055334
"132",9.647329106
"133",7.833590004
"134",12.16905071
"135",9.270052552
"136",7.156895572
"137",9.606517683
"138",11.0065717
"139",6.529561415
"140",9.043982988
"141",9.474045479
"142",8.268728668
"143",10.37947452
"144",8.19130372
"145",10.75170229
"146",11.57876021
"147",8.157783546
"148",11.95409136
"149",11.09285303
"150",9.495618193
"151",8.874499053
"152",10.89857422
"153",8.902592894
"154",10.63089607
"155",12.03648544
"156",9.119326157
"157",9.623136245
"158",11.25492869
"159",11.33587351
"160",10.94319672
"161",7.821793451
"162",9.11110591
"163",8.779559843
"164",9.936377073
"165",8.116770121
"166",10.10134416
"167",11.49082338
"168",11.33940291
"169",6.837595794
"170",6.449168381
"171",9.908649951
"172",9.440946124
"173",8.600383103
"174",6.421044221
"175",6.103800659
"176",9.40713597
"177",8.467441121
"178",7.871907537
"179",12.12173944
"180",8.806829451
"181",8.094206867
"182",8.497162111
"183",11.58169917
"184",8.179120372
"185",8.469846938
"186",8.510273195
"187",11.50985782
"188",8.806444366
"189",9.357842287
"190",8.412875977
"191",11.59196905
"192",11.04999882
"193",13.39044907
"194",11.49211775
"195",8.863745044
"196",8.447959941
"197",11.80581958
"198",11.86377532
"199",8.624701326
"200",6.602732965
"201",8.464869075
"202",12.72315579
"203",7.014372046
"204",9.430670158
"205",10.62047429
"206",13.66141372
"207",8.948550083
"208",10.67261735
"209",12.8925428
"210",10.94396718
"211",6.116647768
"212",9.436503115
"213",9.065136673
"214",9.087793065
"215",11.28552892
"216",12.50250888
"217",9.653050947
"218",6.608352577
"219",9.947745851
"220",7.452205999
"221",10.48832171
"222",9.478666541
"223",10.16257263
"224",12.33671794
"225",9.550153956
"226",12.07200491
"227",12.04470373
"228",14.24766383
"229",6.895499618
"230",11.64449814
"231",10.23175692
"232",11.76103652
"233",6.922764939
"234",13.08977404
"235",7.916704439
"236",9.434965356
"237",13.59422529
"238",9.388135142
"239",11.39493254
"240",5.812439237
"241",10.41955023
"242",8.04373411
"243",11.39132453
"244",10.55856701
